Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 59.0.3071.115,,2017-07-20 12:02:50,2017-07-20 12:03:12,22.053s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Chrome 59.0.3071.115,,2017-07-20 12:02:51,2017-07-20 12:03:02,11.594s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 12:02:51,2017-07-20 12:02:54,2.589s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-20 12:02:54,2017-07-20 12:03:01,7.664s,PASSED
switchToWindowTitle,Chrome 59.0.3071.115,,2017-07-20 12:03:01,2017-07-20 12:03:01,0.023s,PASSED
click,Chrome 59.0.3071.115,,2017-07-20 12:03:01,2017-07-20 12:03:01,0.103s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 12:03:01,2017-07-20 12:03:02,0.858s,PASSED
,,,,,,
Test Cases/MACTest2,Chrome 59.0.3071.115,,2017-07-20 12:03:02,2017-07-20 12:03:12,9.951s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 12:03:02,2017-07-20 12:03:09,6.212s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 12:03:09,2017-07-20 12:03:09,0.833s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 12:03:09,2017-07-20 12:03:11,1.945s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 12:03:11,2017-07-20 12:03:12,0.834s,PASSED
